,link,category,name,is_save
50,https://vkusvill.ru/goods/vok-s-krevetkoy-v-soevo-chesnochnom-souse-37779.html,Готовая еда,вок с креветкой в соево-чесночном соусе,1
51,https://vkusvill.ru/goods/vok-funchoza-s-krevetkami-51915.html,Готовая еда,вок фунчоза с креветками,1
52,https://vkusvill.ru/goods/gamburger-kafe-100257.html,Готовая еда,гамбургер кафе,1
53,https://vkusvill.ru/goods/gedza-s-govyadinoy-na-paru-s-sousom-salsa-350-g-90995.html,Готовая еда,гедза с говядиной на пару с соусом сальса,1
54,https://vkusvill.ru/goods/gedza-s-kuritsey-vo-frityure-105489.html,Готовая еда,гедза с курицей во фритюре,1
55,https://vkusvill.ru/goods/govyadina-su-vid-s-kartofelnym-pyure-80372.html,Готовая еда,говядина су-вид с картофельным пюре,1
56,https://vkusvill.ru/goods/govyadina-tomlenaya-v-granatovom-soke-s-kartofelnym-pyure-i-fasolyu-71656.html,Готовая еда,говядина томленая в гранатовом соке с картофельным пюре и фасолью,1
57,https://vkusvill.ru/goods/govyadina-tomlenaya-350-g-70724.html,Готовая еда,говядина томленая,1
58,https://vkusvill.ru/goods/govyadina-tushenaya-19493.html,"Колбаса, сосиски, деликатесы",говядина тушеная,1
59,https://vkusvill.ru/goods/golubtsy-zam-1147.html,Замороженные продукты,голубцы зам,1
60,https://vkusvill.ru/goods/golubtsy-lenivye-v-smetannom-souse-29522.html,Готовая еда,голубцы ленивые в сметанном соусе,1
61,https://vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-600-g-65276.html,Готовая еда,голубцы ленивые из мяса птицы,1
62,https://vkusvill.ru/goods/golubtsy-s-kuritsey-i-perlovkoy-107224.html,Готовая еда,голубцы с курицей и перловкой,1
63,https://vkusvill.ru/goods/grechka-otvarnaya-89998.html,Готовая еда,гречка отварная,1
64,https://vkusvill.ru/goods/grechka-po-kupecheski-66903.html,Готовая еда,гречка по-купечески,1
65,https://vkusvill.ru/goods/grechka-s-kotletami-iz-indeyki-46647.html,Готовая еда,гречка с котлетами из индейки,1
66,https://vkusvill.ru/goods/grechnevaya-lapsha-s-indeykoy-41137.html,Готовая еда,гречневая лапша с индейкой,1
67,https://vkusvill.ru/goods/gribnoy-zhyulen-s-kuritsey-i-kartofelnym-pyure-67836.html,Готовая еда,грибной жюльен с курицей и картофельным пюре,1
68,https://vkusvill.ru/goods/griby-drevesnye-belye-marinovannye-s-ananasami-ustrichnym-sousom-i-tsedroy-apelsina-92223.html,Готовая еда,грибы древесные белые маринованные с ананасами устричным соусом и цедрой апельсина,1
69,https://vkusvill.ru/goods/grudka-kurinaya-s-kartofelem-po-derevenski-37867.html,Готовая еда,грудка куриная с картофелем по-деревенски,1
70,https://vkusvill.ru/goods/gruzinskiy-sup-iz-fasoli-s-ovoshchami-54161.html,Готовая еда,грузинский суп из фасоли с овощами,1
71,https://vkusvill.ru/goods/dranik-sendvich-s-forelyu-i-tvorozhno-seldereevym-sousom-kafe-103894.html,Готовая еда,драник-сэндвич с форелью и творожно-сельдереевым соусом кафе,1
72,https://vkusvill.ru/goods/draniki-ovoshchnye-24838.html,Готовая еда,драники овощные,1
73,https://vkusvill.ru/goods/ezhiki-myasnye-s-otvarnoy-grechkoy-43719.html,Готовая еда,ежики мясные с отварной гречкой,1
74,https://vkusvill.ru/goods/zharkoe-iz-govyadiny-s-gribami-99375.html,Готовая еда,жаркое из говядины с грибами,1
75,https://vkusvill.ru/goods/zharkoe-iz-indeyki-s-tykvoy-101866.html,Готовая еда,жаркое из индейки с тыквой,1
76,https://vkusvill.ru/goods/zhyulen-gribnoy-s-shampinonami-i-belymi-gribami-71219.html,Готовая еда,жюльен грибной с шампиньонами и белыми грибами,1
77,https://vkusvill.ru/goods/zakuska-iz-shampinonov-po-koreyski-95362.html,Готовая еда,закуска из шампиньонов по-корейски,1
78,https://vkusvill.ru/goods/zalivnoe-iz-govyazhego-yazyka-18164.html,Готовая еда,заливное из говяжьего языка,1
79,https://vkusvill.ru/goods/zalivnoe-iz-indeyki-15275.html,Готовая еда,заливное из индейки,1
80,https://vkusvill.ru/goods/zalivnoe-s-yazykom-i-ovoshchami-74081.html,"Колбаса, сосиски, деликатесы",заливное с языком и овощами,1
81,https://vkusvill.ru/goods/zapekanka-kartofelnaya-s-myasom-30218.html,Готовая еда,запеканка картофельная с мясом,1
82,https://vkusvill.ru/goods/zapekanka-klassicheskaya-69.html,Готовая еда,запеканка классическая,1
83,https://vkusvill.ru/goods/zapekanka-tvorozh-s-chernoy-smorod-100-g-33660.html,Готовая еда,запеканка творож с черной смород,1
84,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-250-g-39363.html,Готовая еда,запеканка творожная,1
85,https://vkusvill.ru/goods/zelenyy-salat-s-kunzhutno-mayoneznym-sousom-102967.html,Готовая еда,зеленый салат с кунжутно-майонезным соусом,1
86,https://vkusvill.ru/goods/ispanskiy-sup-s-okhotnichimi-kolbaskami-i-tomlenoy-govyadinoy-103898.html,Готовая еда,испанский суп с охотничьими колбасками и томленой говядиной,1
87,https://vkusvill.ru/goods/kabachki-gril-so-smetanno-chesnochnym-sousom-96044.html,Готовая еда,кабачки гриль со сметанно-чесночным соусом,1
88,https://vkusvill.ru/goods/kalmar-gril-s-risom-50397.html,Готовая еда,кальмар гриль с рисом,1
89,https://vkusvill.ru/goods/kapusta-kvashenaya-300-g-29812.html,Готовая еда,капуста квашеная,1
90,https://vkusvill.ru/goods/kapusta-kimchi-150-g-27711.html,Готовая еда,капуста кимчи,1
91,https://vkusvill.ru/goods/kapusta-kimchi-obzharennaya-yokimchi-zh-b-160-g-61240.html,Готовая еда,капуста кимчи обжаренная yokimchi жб,1
92,https://vkusvill.ru/goods/morkov-po-koreyski-14577.html,Готовая еда,морковь по-корейски,1
93,https://vkusvill.ru/goods/kapusta-tushenaya-s-ovoshchami-89997.html,Готовая еда,капуста тушеная с овощами,1
